location_id,location_name,centreline_id,direction,date,year,month,day_of_week,is_weekend,observed_hour_count,daily_total_volume,peak_hour_volume,peak_ratio,avg_observed_hourly_volume,peak_hour_concentration,traffic_demand_intensity,throughput_proxy,queue_pressure_proxy,delay_pressure_proxy
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-09,2015,5,5,1,24,14276,984,0.0689268702717848,594.8333333333334,1.6542448865228354,1.1202573861184133,14276,389.16666666666663,0.6542448865228354
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-10,2015,5,6,1,24,12319,940,0.0763048948778309,513.2916666666666,1.831317477067944,0.9666889002236434,12319,426.70833333333337,0.8313174770679439
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-11,2015,5,0,0,24,13050,1017,0.0779310344827586,543.75,1.870344827586207,1.0240514772236826,13050,473.25,0.8703448275862069
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-12,2015,5,1,0,24,12876,988,0.0767319043181112,536.5,1.841565703634669,1.0103974575273669,12876,451.5,0.8415657036346691
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2015-05-13,2015,5,2,0,24,13207,966,0.0731430302112516,550.2916666666666,1.7554327250700388,1.0363714835013929,13207,415.70833333333337,0.7554327250700388
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-01-30,2016,1,5,1,24,11532,845,0.0732743669788414,480.5,1.7585848074921957,0.9049319260799623,11532,364.5,0.7585848074921957
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-01-31,2016,1,6,1,24,9566,720,0.0752665690988919,398.5833333333333,1.8063976583734058,0.7506571977871072,9566,321.4166666666667,0.8063976583734058
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-02-01,2016,2,0,0,24,12611,1032,0.0818333201173578,525.4583333333334,1.9639996828165887,0.9896025424726331,12611,506.54166666666663,0.9639996828165887
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-02-02,2016,2,1,0,24,12472,1027,0.0823444515715202,519.6666666666666,1.9762668377164851,0.9786950209910935,12472,507.33333333333337,0.9762668377164851
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-02-03,2016,2,2,0,24,12605,966,0.0766362554541848,525.2083333333334,1.8392701309004362,0.9891317142072429,12605,440.79166666666663,0.8392701309004362
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-02-04,2016,2,3,0,24,12446,1016,0.0816326530612244,518.5833333333334,1.9591836734693877,0.9766547651744026,12446,497.41666666666663,0.9591836734693877
10155176_NB,McCowan Rd: Sandhurst Crcl - Finch Ave E,10155176,NB,2016-02-05,2016,2,4,0,24,13502,1005,0.0744334172715153,562.5833333333334,1.786402014516368,1.0595205398830776,13502,442.41666666666663,0.7864020145163679
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-06,2015,11,4,0,24,9244,521,0.0563608827347468,385.1666666666667,1.3526611856339246,1.0737600185852014,9244,135.83333333333331,0.35266118563392457
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-07,2015,11,5,1,24,8863,509,0.0574297641881981,369.2916666666667,1.378314340516755,1.0295040074340807,8863,139.70833333333331,0.37831434051675505
10223667_EB,King St W: Spadina Ave - Brant St,10223667,EB,2015-11-08,2015,11,6,1,24,7806,502,0.0643095055085831,325.25,1.5434281322059953,0.9067255198048554,7806,176.75,0.5434281322059953
