date,daily_total_volume,peak_hour_volume,peak_ratio,congestion_target,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_14,roll_7_mean,roll_14_mean,roll_7_std
2016-02-28,116501,10074,0.08647136076085184,116501,2016,2,1,6,1,8,107297.0,221134.0,187324.0,178314.2857142857,223353.0,63544.95366461075
2016-02-29,76030,9205,0.12107063001446797,76030,2016,2,1,0,0,9,116501.0,301189.0,223545.0,163366.7142857143,218294.2142857143,64097.72738486271
2016-03-03,88220,9674,0.10965767399682612,88220,2016,3,1,3,0,9,76030.0,152292.0,381225.0,131201.14285714287,207757.42857142858,31731.853766768403
2016-03-04,203539,15703,0.0771498336928058,203539,2016,3,1,4,0,9,88220.0,154994.0,381792.0,122048.0,186828.5,33807.192227878186
2016-03-05,160739,13032,0.08107553238479771,160739,2016,3,1,5,1,9,203539.0,157058.0,272192.0,128983.0,174096.14285714287,44863.20331109577
2016-03-06,289252,23861,0.08249208302794794,289252,2016,3,1,6,1,9,160739.0,154236.0,283910.0,129508.85714285714,166135.2142857143,45266.883220248026
2016-03-07,388737,32954,0.08477196665097482,388737,2016,3,1,0,0,10,289252.0,107297.0,148754.0,148796.85714285713,166516.7857142857,75935.0553508869
2016-03-08,400133,33770,0.08439693801810898,400133,2016,3,1,1,0,10,388737.0,116501.0,221134.0,189002.57142857142,183658.42857142858,114840.711110151
2016-03-09,398620,33511,0.0840675329888114,398620,2016,3,1,2,0,10,400133.0,76030.0,301189.0,229521.42857142858,196444.07142857142,133514.96114026022
2016-03-10,396774,33410,0.08420410611582411,396774,2016,3,1,3,0,10,398620.0,88220.0,152292.0,275605.71428571426,203403.42857142858,127230.6616447897
2016-03-11,410928,33440,0.08137678620098898,410928,2016,3,1,4,0,10,396774.0,203539.0,154994.0,319684.85714285716,220866.42857142858,102545.43649431261
2016-03-12,312062,23180,0.07428011100358262,312062,2016,3,1,5,1,10,410928.0,160739.0,157058.0,349311.85714285716,239147.42857142858,92901.86252066819
2016-04-25,87894,7479,0.08509113250051198,87894,2016,4,2,0,0,17,312062.0,289252.0,154236.0,370929.4285714286,250219.14285714287,48889.55240081476
2016-04-26,87291,7285,0.08345648463186353,87291,2016,4,2,1,0,17,87894.0,388737.0,107297.0,342164.0,245480.42857142858,116895.13272302202
2016-04-27,90972,7476,0.08217913204062789,90972,2016,4,2,2,0,17,87291.0,400133.0,116501.0,299100.28571428574,244051.42857142858,148209.6767586527
2016-04-28,89963,7486,0.08321198715027289,89963,2016,4,2,3,0,17,90972.0,398620.0,76030.0,254934.42857142858,242227.92857142858,158772.40687417495
2016-04-29,95061,7624,0.08020113400868915,95061,2016,4,2,4,0,17,89963.0,396774.0,88220.0,210840.57142857142,243223.14285714287,155033.44491415986
2016-04-30,92440,7003,0.07575724794461272,92440,2016,4,2,5,1,17,95061.0,410928.0,203539.0,167738.7142857143,243711.7857142857,135426.174801024
2016-05-01,82352,6650,0.08075092286768992,82352,2016,5,2,6,1,17,92440.0,312062.0,160739.0,122240.42857142857,235776.14285714287,83745.35071046278
2016-05-09,161050,13781,0.08556969885128841,161050,2016,5,2,0,0,19,82352.0,87894.0,289252.0,89424.71428571429,230177.07142857142,4091.915187792392
2016-05-10,166936,13966,0.08366080414050894,166936,2016,5,2,1,0,19,161050.0,87291.0,388737.0,99875.57142857143,221019.7857142857,27275.624593246568
2016-05-11,165871,14132,0.08519873877893061,165871,2016,5,2,2,0,19,166936.0,90972.0,400133.0,111253.42857142857,205176.85714285713,36277.39974077153
2016-05-12,168953,14031,0.08304676448479754,168953,2016,5,2,3,0,19,165871.0,89963.0,398620.0,121953.28571428571,188443.85714285713,40138.57777630048
2016-05-13,174896,14150,0.08090522367578447,174896,2016,5,2,4,0,19,168953.0,95061.0,396774.0,133237.57142857142,172039.07142857142,40744.90068239732
2016-05-14,175380,13083,0.07459801573725625,175380,2016,5,2,5,1,19,174896.0,92440.0,410928.0,144642.57142857142,156190.64285714287,39429.97480705637
2016-05-15,146007,12303,0.08426308327682919,146007,2016,5,2,6,1,19,175380.0,82352.0,312062.0,156491.14285714287,139365.7857142857,33078.94097673407
2016-05-30,570091,45446,0.07971709779666755,570091,2016,5,2,0,0,22,146007.0,161050.0,87894.0,165584.7142857143,127504.71428571429,9997.928747370863
2016-05-31,590223,46282,0.07841442980026193,590223,2016,5,2,1,0,22,570091.0,166936.0,87291.0,224019.14285714287,161947.35714285713,152917.4319291591
2016-06-01,597628,46342,0.0775432208664922,597628,2016,6,2,2,0,22,590223.0,165871.0,90972.0,284488.71428571426,197871.07142857142,202300.618813284
2016-06-02,589309,46164,0.07833581363936407,589309,2016,6,2,3,0,22,597628.0,168953.0,89963.0,346168.28571428574,234060.7857142857,224688.19343979273
2016-06-03,605377,46427,0.07669105367399158,605377,2016,6,2,4,0,22,589309.0,174896.0,95061.0,406219.14285714284,269728.35714285716,225602.20040846796
2016-06-04,509280,37046,0.07274191014765945,509280,2016,6,2,5,1,22,605377.0,175380.0,92440.0,467716.4285714286,306179.5,210181.73071721874
2016-06-05,455249,35724,0.07847134205676454,455249,2016,6,2,6,1,22,509280.0,146007.0,82352.0,515416.4285714286,335953.78571428574,166031.15800139893
